Company,LTP (₹),1D Return %,Market Cap (Cr),52W High / Low (₹),Volume
Crompton Greaves Consumer Electricals Ltd.,432.05,+3.80,"27,809",484.00/261.25,"85,36,418"
Radico Khaitan Ltd.,"2,078.35",+1.61,"27,801","2,332.70/1,141.25","1,91,616"
Gillette India Ltd.,"8,508.70",+0.36,"27,726","9,560.00/5,956.05","31,758"
SKF India Ltd.,"5,440.95",+0.09,"26,899","7,350.00/4,024.50","21,756"
Global Health Ltd.,"1,000.65",-2.14,"26,872","1,513.90/708.00","24,76,349"
Aegis Logistics Ltd.,764.50,+0.07,"26,834",970.00/280.00,"2,16,722"
Grindwell Norton Ltd.,"2,413.75",+0.34,"26,725","2,960.00/1,875.20","14,592"
CESC Ltd.,200.97,-0.22,"26,640",212.49/82.30,"25,40,572"
Jyoti CNC Automation Ltd.,"1,156.05",+0.95,"26,291","1,449.95/331.00","1,57,468"
Hatsun Agro Products Ltd.,"1,176.75",-1.06,"26,212","1,400.00/959.95","9,283"
Amara Raja Energy & Mobility Ltd.,"1,411.85",-0.99,"25,840","1,775.95/599.00","8,05,767"
Ratnamani Metals & Tubes Ltd.,"3,682.20",+0.40,"25,809","3,978.50/2,525.25","17,156"
ITI Ltd.,265.25,+3.47,"25,488",384.30/184.20,"20,60,265"
Pfizer Ltd.,"5,562.50",-2.79,"25,447","6,451.15/3,838.00","40,228"
Laurus Labs Ltd.,469.30,+1.23,"25,303",518.00/349.40,"12,19,646"
Narayana Hrudayalaya Ltd.,"1,236.90",-1.13,"25,277","1,444.90/979.95","2,10,944"
PNB Housing Finance Ltd.,971.80,-1.13,"25,252","1,202.20/604.00","5,69,834"
Shyam Metalics And Energy Ltd.,903.50,-0.48,"25,220",956.90/420.20,"4,01,481"
Kansai Nerolac Paints Ltd.,311.50,+0.65,"25,182",357.30/251.85,"5,86,888"
Natco Pharma Ltd.,"1,400.30",-1.39,"25,081","1,639.00/724.20","4,00,796"
Piramal Enterprises Ltd.,"1,103.30",-0.04,"24,877","1,143.80/736.60","8,77,203"
Anant Raj Ltd.,727.60,+3.29,"24,876",749.00/216.00,"9,11,726"
Gujarat State Petronet Ltd.,431.90,+1.61,"24,368",469.70/254.50,"15,26,406"
Castrol India Ltd.,244.57,-0.50,"24,191",284.40/132.40,"14,16,524"
Five-Star Business Finance Ltd.,825.35,+5.78,"24,140",862.75/600.05,"38,66,302"
KIOCL Ltd.,392.70,-0.36,"23,866",577.35/301.20,"70,209"
EIH Ltd.,381.50,+0.82,"23,858",502.20/205.55,"5,65,615"
Bikaji Foods International Ltd.,945.05,+2.53,"23,662","1,007.95/450.20","9,98,468"
Kajaria Ceramics Ltd.,"1,481.40",+1.06,"23,593","1,578.70/1,110.35","72,610"
Atul Ltd.,"8,002.45",+4.06,"23,561","8,135.40/5,174.85","2,79,619"
Jindal Saw Ltd.,735.25,-1.08,"23,510",759.90/328.55,"6,33,896"
Angel One Ltd.,"2,600.10",+1.50,"23,440","3,896.00/1,824.05","50,49,436"
Alembic Pharmaceuticals Ltd.,"1,191.95",-1.12,"23,429","1,284.95/707.15","84,308"
Nuvama Wealth Management Ltd.,"6,520.05",-3.54,"23,287","7,100.00/2,100.00","2,55,479"
