Company,LTP (₹),1D Return %,Market Cap (Cr),52W High / Low (₹),Volume
HDFC Life Insurance Company Ltd.,710.20,-1.09,"1,52,851",761.20/511.40,"19,87,048"
Samvardhana Motherson International Ltd.,210.75,-0.30,"1,48,290",216.99/86.80,"1,04,29,365"
REC Ltd.,556.80,+0.41,"1,46,618",654.00/259.45,"81,17,456"
Divi'S Laboratories Ltd.,"5,423.80",-0.36,"1,43,985","5,582.95/3,295.30","6,86,142"
Godrej Consumer Products Ltd.,"1,388.25",-0.37,"1,42,007","1,541.85/959.80","12,33,644"
Eicher Motors Ltd.,"4,972.65",-1.07,"1,36,278","5,105.00/3,275.00","4,49,002"
TVS Motor Company Ltd.,"2,838.65",-0.04,"1,34,861","2,958.00/1,489.45","8,53,088"
Cipla Ltd.,"1,664.85",+0.65,"1,34,448","1,683.00/1,132.00","9,45,740"
Shriram Finance Ltd.,"3,570.40",-0.18,"1,34,243","3,652.25/1,760.85","6,76,227"
Cholamandalam Investment & Finance Company Ltd.,"1,581.85",-1.63,"1,32,943","1,652.00/1,011.20","9,24,366"
Bank Of Baroda,248.91,+0.45,"1,28,720",299.70/187.85,"87,42,175"
Bajaj Housing Finance Ltd.,152.92,-0.74,"1,27,354",188.50/70.00,"1,48,93,316"
JSW Energy Ltd.,723.45,-1.31,"1,26,442",804.90/347.50,"23,63,253"
Havells India Ltd.,"1,999.80",-0.65,"1,25,371","2,106.00/1,232.85","8,60,908"
Adani Energy Solutions Ltd.,"1,040.10",+3.02,"1,24,945","1,348.00/686.00","40,58,979"
Macrotech Developers Ltd.,"1,221.05",-1.08,"1,21,524","1,649.95/701.70","13,38,808"
Tata Consumer Products Ltd.,"1,196.25",-0.06,"1,18,367","1,253.39/844.48","8,92,381"
Bajaj Holdings & Investment Ltd.,"10,605.70",+1.06,"1,18,035","11,350.00/6,627.90","28,112"
United Spirits Ltd.,"1,610.95",+1.32,"1,17,173","1,647.50/981.35","4,73,000"
Punjab National Bank,105.21,-1.87,"1,15,847",142.90/67.35,"12,01,87,762"
Hero MotoCorp Ltd.,"5,750.10",+0.66,"1,14,991","6,246.25/2,923.95","7,42,940"
CG Power And Industrial Solutions Ltd.,751.30,-1.02,"1,14,835",814.40/359.20,"12,12,072"
Torrent Pharmaceuticals Ltd.,"3,369.90",-0.78,"1,14,053","3,574.00/1,822.55","4,25,354"
Dr. Reddy'S Laboratories Ltd.,"6,749.10",-0.04,"1,12,627","7,107.45/5,205.55","3,47,618"
Bosch Ltd.,"37,841.20",+0.43,"1,11,607","38,179.90/18,600.00","21,533"
ICICI Prudential Life Insurance Company Ltd.,767.20,-1.66,"1,10,812",796.80/463.45,"11,38,660"
Polycab India Ltd.,"7,326.55",+5.34,"1,10,167","7,353.55/3,801.00","12,21,518"
IndusInd Bank Ltd.,"1,409.70",-2.62,"1,09,815","1,694.50/1,329.20","33,77,999"
Dabur India Ltd.,619.00,-0.99,"1,09,706",672.00/489.20,"10,95,384"
Rail Vikas Nigam Ltd.,524.70,-1.27,"1,09,401",647.00/142.15,"29,45,750"
Suzlon Energy Ltd.,79.74,-0.39,"1,08,807",86.04/25.75,"2,74,94,973"
Indian Overseas Bank,57.53,-0.35,"1,08,746",83.75/36.65,"40,93,769"
Zydus Lifesciences Ltd.,"1,080.35",+1.10,"1,08,708","1,324.30/567.75","11,73,725"
Cummins India Ltd.,"3,875.85",+1.83,"1,07,439","4,171.90/1,659.05","3,01,686"
ICICI Lombard General Insurance Company Ltd.,"2,153.90",-0.94,"1,06,552","2,301.90/1,286.00","3,81,613"
Info Edge (India) Ltd.,"8,195.95",+1.18,"1,06,206","8,260.35/3,972.05","1,69,606"
Jindal Steel & Power Ltd.,"1,035.35",-0.41,"1,05,615","1,097.00/581.60","23,82,544"
